Sample_ID,sample_type,Acholeplasmatales,Acidimicrobiales,Actinomycetales,Aeromonadales,Alteromonadales,Anaeroplasmatales,Bacillales,Bacteroidales,Bifidobacteriales,Burkholderiales,Campylobacterales,Cardiobacteriales,Caulobacterales,Chromatiales,Clostridiales,Coriobacteriales,Deferribacterales,Deinococcales,Desulfobacterales,Desulfovibrionales,Enterobacteriales,Erysipelotrichales,Fibrobacterales,Flavobacteriales,Fusobacteriales,Hydrogenophilales,Lactobacillales,Legionellales,Mycoplasmatales,Myxococcales,Neisseriales,Nitriliruptorales,Oceanospirillales,Pasteurellales,Pseudomonadales,Puniceicoccales,Rhizobiales,Rhodobacterales,Rhodocyclales,Rhodospirillales,Selenomonadales,Sphingobacteriales,Sphingomonadales,Spirochaetales,Synergistales,Thermales,Thermomicrobiales,Thermotogales,Verrucomicrobiales,Victivallales,Xanthomonadales
ST00384,stool,0,0,0,0,0,0,4.04579657530526,5.53005861143027,0,4.22187480650357,0,0,0,0,5.72245192305852,4.04579657530526,0,0,0,0,3.74480566086871,4.44371313355265,0,0,3.74480566086871,0,4.52289177391937,0,0,0,0,0,0,0,0,0,0,0,0,0,4.34680702903663,0,0,0,0,0,0,0,0,0,0
ST00386,stool,0,0,3.44023478512867,0,0,0,3.49426610369148,4.59937617091053,1.70572743214453,3.40483151834327,1.24538155058058,0,0,0,5.89792769860942,4.95895248473339,0,0,0,1.82852294230281,2.26373441703325,4.66449168091666,0,0,3.56201703136673,0,3.85045823129596,0,0,0,0,0,0,0,0,0,1.5338911543896,0,0,0,4.06727037179352,0,1.87895869908549,0,0,1.62825318442637,0,0,3.09826251599384,0,0
ST00387,stool,0,0,1.35412603884049,0,0,0,2.35065394060296,5.80701964945402,0,4.11554239001512,0,0,0,0,5.49196055403392,3.46602548095415,0,0,0,0,1.64544026721703,3.74616979240422,0,0.913830021234085,0.913830021234085,0,2.86654201496971,0,0,0,0,0,0,0.913830021234085,0,0,3.58255900681791,0,0,0,4.34095801567463,0,0,0,0,0,0,0,0,0,0
ST00411,stool,0,0,0,0,0,0,2.76014827257182,5.38723328117605,0,3.13712831964173,0,0,2.24995913691628,0,5.85138520968095,3.86561707551188,0,0,0,2.94697077472868,0,3.91734394819333,0,1.65516536078871,0,0,3.81870200779205,0,0,0,0,0,0,0,0,0,0,0,0,0,4.31198895919475,0,0,0,0,0,0,1.65516536078871,1.95136474594924,0,0
ST00412,stool,0,0,1.69089680696195,0,0,0,2.38169841663589,5.67295980194462,1.86741478760992,0.646817547787502,1.25938159827917,0.331374866130444,0,0,5.67709258770718,3.8023246885655,0,0,0,3.23156507798698,1.96919057667022,3.22893187134907,0,0.954878401725015,0.646817547787502,0,3.34344776918207,0,0,0,0,0,0,0.746553577548853,0,0,1.87410939603897,0,0,0,4.48305588272542,0.699542349274979,0,0,0,0.699542349274979,0,0,4.02960588678119,0,0
ST00420,stool,0,0,3.47988747824027,0,0,0,3.87249881449675,5.39355921590685,0,3.53930626683595,2.00691784135022,0,2.6847619948972,0,5.78721182949726,4.71156132757744,0,0,1.61534243890699,3.9767190802909,0,3.84529361218498,0,3.05990570705266,2.23560317493563,0,4.70832355144987,0,0,0,1.04377729658188,0,0,0,2.04792177852942,0,1.49389970246801,0,0,0,3.64220784117554,2.08538611674131,1.78790932702424,0,0,1.96163501513056,0,0,0,1.32471713314451,2.08538611674131
ST00425,stool,0,0,2.30819278662455,0,0,0,2.51151104766752,5.82381272583043,0,3.91248605790571,0.958708984991902,0,0,0,5.45210667692439,3.16126427529536,0,0,0,3.25077808980227,1.69511574623686,4.22765971711755,0,1.52338419008039,0,0,3.21587186187039,0,0,0,1.40276182573298,0,0,1.61768363667498,0,0,1.23517670574259,0,0,0,4.28562243884727,0,0,0,1.40276182573298,0,0,0,2.50054995526306,0,0
ST00465,stool,0,0,2.46841707548145,0,0,0,2.59991767815072,5.71175804689362,1.46774729772098,2.94455257571822,0,0,1.2989899373878,0,5.65893014113102,3.91414855994837,0,0,0,2.57878293091546,3.09977284065701,4.17371202147348,0,1.88437098982367,0,0,3.02906072787824,0,0,0,0,0,0,1.8271879724956,0,0,1.46774729772098,0,0,0,2.97167491545778,2.73225601551236,0,0,0,0,0,0,1.01924660403536,0,0
ST00480,stool,0,0,2.31738055863135,0,0,0,2.3010705672806,5.71140047332766,0,3.27508618665861,0,0,1.21243078383313,0,5.62997939267131,3.15139880876988,0,0,0,2.90564981631507,3.83726001713725,4.64608350705609,0,0,0,0,3.0456796173423,0,0,0,0,0,0,1.93044067946629,0,0,0.93724523398693,0,0,0,3.28897753581735,1.49993795537686,0,0,0,0,0,0,1.93044067946629,0,0
SW00001,swab,0,0,2.65499104835013,0,0,0,4.14885271797103,5.64071346987581,1.19815809699882,0.923810013942283,2.10259073123388,0,0,0,5.65906252976332,3.68701417962285,0,0,0,0,4.55355649562039,4.39917216004433,0,0.923810013942283,0.923810013942283,0,4.28118227171219,0,0,0,0,0,0,1.36497823452771,2.10259073123388,0,1.19815809699882,0,0,0,3.82493241969109,0,0,0,0,2.49334509426884,0,0,0,0,0
