ID	081A_reads	082A_reads	083A_reads	084A_reads	085A_reads	086A_reads	091A_reads	093A_reads	094A_reads	098A_reads	099A_reads	100A_reads	101A_reads	107A_reads	108A_reads	109A_reads	10A_reads	116A_reads	118A_reads	119A_reads	11A_reads	120A_reads	13A_reads	15A_reads	18A_reads	1A_reads	20A_reads	21A_reads	24A_reads	25A_reads	28A_reads	29A_reads	31A_reads	34A_reads	35A_reads	37A_reads	39A_reads	3A_reads	6A_reads	7A_reads
Anaerotruncus	0.0	40	0.0	0.0	0.0	0.0	0.0	927	0.0	0.0	0.0	0.0	1304	0.0	959	0.0	0.0	0.0	0.0	10755	0.0	0.0	0.0	0.0	0.0	0.0	0.0	382	236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Faecalibacterium	246965	185966	315364	246250	151781	144093	163926	0.0	0.0	292757	117748	220453	151679	99912	103788	307987	503327	0.0	47602	103026	208519	514769	206682	213884	117565	229902	52425	179638	384610	125668	88828	116297	134557	683800	178003	318913	75630	102017	280756	532048
Ruminococcaceae_noname	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ruminococcus	8757	49432	47390	390296	17927	0.0	10296	4076	0.0	4464	196653	37079	81207	66085	32968	0.0	174817	0.0	178322	59857	28702	20222	0.0	10524	104511	152866	0.0	58790	1344	0.0	6074	10815	13548	479714	27641	13972	79026	23529	12312	699652
Subdoligranulum	70546	2613	5226	30981	20903	373	26875	67187	1866	24635	6345	297116	16797	24635	25009	8585	30234	373	11944	85850	33967	21649	0.0	23142	7465	10825	3359	7465	38073	14930	8585	26502	10078	11198	12691	48524	21649	64948	10078	39566
Catenibacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3463	0.0	0.0	1455	6657	0.0	0.0	0.0	0.0
Coprobacillus	0.0	0.0	0.0	0.0	139	56	0.0	2019	2197	0.0	5464	0.0	0.0	0.0	0.0	2681	0.0	7335	0.0	0.0	0.0	0.0	1204	0.0	0.0	0.0	7345	0.0	0.0	271	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5682
Eggerthia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	196	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Erysipelotrichaceae_noname	0.0	0.0	2131	0.0	0.0	0.0	0.0	47	1113	0.0	1604	0.0	0.0	9185	0.0	485	0.0	2340	5246	0.0	0.0	144	0.0	0.0	0.0	0.0	3639	0.0	0.0	3529	14721	12849	0.0	0.0	2586	15446	106	38138	0.0	1548
Holdemania	182	5475	239	585	0.0	0.0	350	0.0	0.0	212	5880	809	3422	539	0.0	3087	0.0	0.0	2125	0.0	0.0	4318	3894	222	916	72	0.0	1513	0.0	618	600	0.0	0.0	0.0	0.0	0.0	0.0	359	629	1207
Solobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49	0.0	0.0	0.0	0.0	0.0	33	0.0	0.0	0.0	0.0	649	0.0	0.0	1083
Acidaminococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
